entity,value,synonyms
GC,Loeillet-Rouzier Anne,Anne Loeillet-Rouzier:Marie Loeillet-Rouzier
GC,Fusco Gerardo,Gerardo Fusco
GC,Gamberoni Dominique,Dominique Gamberoni
GC,Nobs Cyril,Cyril Nobs
GC,Noël Daniel,Daniel Noel
GC,Santi Michel,Michel Santi
GC,Picot Jérôme,Jerome Picot
GC,Ruchonnet Jean-François,Jean-François Ruchonnet
GC,Galetto Frédéric,Frederic Galetto
GC,Beck Victoria,Victoria Beck
GC,Antoine Jean-Marc,Jean-Marc Antoine
GC,Rime Fatma,Fatma Rime:Fatima Rime
GC,L'Huillier Eric,Eric L'Huillier
GC,Paraná Júnior Valério,Valerio Paraná Júnior
GC,Lota Raphaëlle,Raphaelle Lota
GC,Thomsen Elena,Elena Thomsen:Elena Milakova
GC,Ballesteros Stefan,Stefan Ballesteros
GC,Fabre Jean,Jean Fabre
GC,Nguyen Van Minh,Van Minh Nguyen
GC,Martel Frédéric,Frederic Martel
GC,Frey Priscilla,Priscilla Frey
GC,Brkic Vitomir,Vitomir Brkic
GC,Levy Yossef,Yossef Levy:Hai Levy
GC,Bissoli Marion,Marion Bissoli:Marion Le Bacquer
GC,Cohen Olivier,Olivier Cohen
GC,Bruguier Michel,Michel Bruguier
GC,Solteiro Jorge,Jorge Solteiro
GC,Halimi Arsim,Arsim Halimi
GC,Berlemont Alain,Alain Berlemont
GC,Gargantini Yves,Yves Gargantini
GC,Maigre Maria Inès,Maria Ines Maigre
GC,Farinha Horacio,Horacio Farinha
GC,Vidonne Thierry,Thierry Vidonne
GC,Leitner André,Andre Leitner
GC,Delacquis Cédric,Cedric Delacquis
GC,Zagato Sophie,Sophie Zagato
GC,Vidonne Valérie,Valerie Vidonne
GC,Ferrand Guy,Guy Ferrand
GC,Kunzi Nicolas,Nicolas Kunzi
GC,Kugel Mark,Mark Kugel
GC,Thurnherr Laurent,Laurent Thurnherr
GC,Vidonne David,David Vidonne
GC,Beureux Silvain,Silvain Beureux
GC,Kunzi Philippe,Philippe Kunzi
GC,Fader Annette,Annette Fader:Yasuka Fader
GC,Thurnherr Sylvain,Sylvain Thurnherr
GC,Beureux Johan,Johan Beureux
GC,Poggia Mauro,Mauro Poggia
GC,Golay Roger,Roger Golay
GC,Roch Ana Belen,Ana Belen Roch
GC,Sormanni Daniel,Daniel Sormanni
GC,Cerutti Thierry,Thierry Cerutti
GC,Voumard Jean Marie,Jean Marie Voumard
GC,Le Joncour-Brülhart Céline,Celine Le Joncour-Brulhart
GC,Bärtschi François,François Bartschi
GC,Pistis Sandro,Sandro Pistis
GC,Derouette Jean-Paul,Jean-Paul Derouette
GC,Magnin Danièle,Daniele Magnin
GC,Valentin Francisco,Francisco Valentin
GC,Sapin Françoise,Françoise Sapin
GC,Flury Christian,Christian Flury
GC,Golay Sandra,Sandra Golay
GC,Python André,Andre Python
GC,Rappaz Henry,Henry Rappaz
GC,Gander Florian,Florian Gander
GC,Decorvet Christian,Christian Decorvet
GC,Sonderegger Gabriela,Gabriela Sonderegger
GC,Dimier Patrick,Patrick Dimier
GC,Fontaine-Vive-Curtaz Jean,Jean Fontaine-Vive-Curtaz
GC,Saas Alexandra,Alexandra Saas
GC,Zogg Thomas,Thomas Zogg
GC,Pascarella Louise,Louise Pascarella
GC,Fekkak Hatem,Hatem Fekkak
GC,Angelo Antonio,Antonio Angelo
GC,Cattin Jean-Pascal,Jean-Pascal Cattin
GC,Baryeka Jarek,Jarek Baryeka
GC,Reichenbach Kevin,Kevin Reichenbach
GC,Chapou Frédéric,Frederic Chapou
GC,Madani Amar,Amar Madani
GC,Leisi Laurent,Laurent Leisi
GC,Oudin Rémy,Remy Oudin
GC,Villette Jean,Jean Villette
GC,Ambrosio François,François Ambrosio
GC,Teixeira Albano,Albano Teixeira
GC,Frauchiger Roger,Roger Frauchiger
