entity,value,synonyms
Candidat,Schmied Patrick,Patrick Schmied:Patrick Schmied
Candidat,Schrag Sylvianne,Sylvianne Schrag:Sylvianne Schrag
Candidat,Simoes Jose,Jose Simoes:Jose Simoes
Candidat,Sopi Dardan,Dardan Sopi:Dardan Sopi
Candidat,Squillaci Nicola,Nicola Squillaci:Nicola Squillaci
Candidat,Steinberg Candrian Melinda,Melinda Steinberg Candrian:Melinda Steinberg Candrian
Candidat,Tomassi Christine,Christine Tomassi:Christine Tomassi
Candidat,Tremblet Laurent,Laurent Tremblet:Laurent Tremblet
Candidat,Uong Dinh Manh,Dinh Manh Uong:Dinh Manh Uong
Candidat,Völki Robert,Robert Völki:Robert Volki
Candidat,Vuarnoz Emanuela,Emanuela Vuarnoz:Emanuelle Vuarnoz:Emanuela Vuarnoz:Emanuelle Vuarnoz
Candidat,Wehrli Patrick,Patrick Wehrli:Patrick Wehrli
Candidat,Zimmermann Luc,Luc Zimmermann:Luc Zimmermann
Candidat,Zimmermann Bertrand,Bertrand Zimmermann:Bertrand Zimmermann
Candidat,Nidegger Yves,Yves Nidegger:Yves Nidegger
Candidat,Bläsi Thomas,Thomas Bläsi:Thomas Blasi
Candidat,Florey Stéphane,Stéphane Florey:Stephane Florey
Candidat,Leyvraz Eric,Eric Leyvraz:Eric Leyvraz
Candidat,Fuhrmann Marc,Marc Fuhrmann:Marc Fuhrmann
Candidat,Lussi Patrick,Patrick Lussi:Patrick Lussi
Candidat,Ivanov Christo,Christo Ivanov:Christo Ivanov
Candidat,Falquet Marc,Marc Falquet:Marc Falquet
Candidat,Maendly Norbert,Norbert Maendly:Norbert Maendly
Candidat,Pfeffer André,André Pfeffer:Andre Pfeffer
Candidat,Catelain Gilbert,Gilbert Catelain:Gilbert Catelain
Candidat,Hulliger Patrick,Patrick Hulliger:Patrick Hulliger
Candidat,Michaud Eliane,Eliane Michaud:Eliane Ansermet:Eliane Michaud:Eliane Ansermet
Candidat,Scherb Peter,Peter Scherb:Pierre Scherb:Peter Scherb:Pierre Scherb
Candidat,Stark Riccardo,Riccardo Stark:Richard Stark:Riccardo Stark:Richard Stark
Candidat,Guinchard Damien,Damien Guinchard:Damien Guinchard
Candidat,Bisol Walter,Walter Bisol:Walter Bisol
Candidat,Masé Zora,Zora Masé:Zora Mase
Candidat,Velen François,François Velen:Francois Velen
Candidat,Knörr Stephen,Stephen Knörr:Stephen Knorr
